Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,,,,,,,,,,,,
20221101_201047,19,20,11,11,0,0,#DIV/0!,,,,0,0,#DIV/0!,,,
20221101_201059,23,21,10,11,1,0,0,,,,2.127659574,0,0,,,
20221101_201108,24,21,14,12,1,1,1,1,,,2.127659574,1.428571429,0.671428571,,,
20221101_201113,31,22,27,12,2,1,0.5,-0.5,,,4.255319149,1.428571429,0.335714286,,,
20221101_201113,31,22,35,14,2,3,1.5,1,,,4.255319149,4.285714286,1.007142857,,,
20221101_201114,41,23,47,15,3,4,1.333333333,-0.166666667,,,6.382978723,5.714285714,0.895238095,,,
20221101_201114,54,23,61,16,3,5,1.666666667,0.333333333,,,6.382978723,7.142857143,1.119047619,,,
20221101_201114,54,24,59,16,4,5,1.25,-0.416666667,,,8.510638298,7.142857143,0.839285714,,,
20221101_201114,65,25,68,17,5,6,1.2,-0.05,,,10.63829787,8.571428571,0.805714286,,,
20221101_201114,59,25,76,18,5,7,1.4,0.2,,,10.63829787,10,0.94,,,
20221101_201115,65,27,69,20,7,9,1.285714286,-0.114285714,,,14.89361702,12.85714286,0.863265306,,,
20221101_201115,66,27,70,21,7,10,1.428571429,0.142857143,,,14.89361702,14.28571429,0.959183673,,,
20221101_201115,63,28,72,22,8,11,1.375,-0.053571429,,,17.0212766,15.71428571,0.923214286,,,
20221101_201115,70,29,89,24,9,13,1.444444444,0.069444444,,,19.14893617,18.57142857,0.96984127,,,
20221101_201116,87,31,94,27,11,16,1.454545455,0.01010101,0.01010101,0.005114969,23.40425532,22.85714286,0.976623377,0.006782107,0.006782107,0.003434336
20221101_201116,82,32,110,28,12,17,1.416666667,-0.037878788,0.037878788,,25.53191489,24.28571429,0.951190476,-0.0254329,0.0254329,
20221101_201116,86,33,105,29,13,18,1.384615385,-0.032051282,0.032051282,,27.65957447,25.71428571,0.92967033,-0.021520147,0.021520147,
20221101_201116,90,34,110,30,14,19,1.357142857,-0.027472527,0.027472527,,29.78723404,27.14285714,0.91122449,-0.01844584,0.01844584,
20221101_201116,102,37,124,36,17,25,1.470588235,0.113445378,0.113445378,,36.17021277,35.71428571,0.987394958,0.076170468,0.076170468,
20221101_201117,96,39,120,38,19,27,1.421052632,-0.049535604,0.049535604,,40.42553191,38.57142857,0.954135338,-0.03325962,0.03325962,
20221101_201117,106,40,138,40,20,29,1.45,0.028947368,0.028947368,,42.55319149,41.42857143,0.973571429,0.01943609,0.01943609,
20221101_201117,114,41,141,42,21,31,1.476190476,0.026190476,0.026190476,,44.68085106,44.28571429,0.991156463,0.017585034,0.017585034,
20221101_201117,127,43,157,44,23,33,1.434782609,-0.041407867,0.041407867,,48.93617021,47.14285714,0.963354037,-0.027802425,0.027802425,
20221101_201117,128,44,164,46,24,35,1.458333333,0.023550725,0.023550725,,51.06382979,50,0.979166667,0.015812629,0.015812629,
20221101_201117,131,45,157,47,25,36,1.44,-0.018333333,0.018333333,,53.19148936,51.42857143,0.966857143,-0.012309524,0.012309524,
20221101_201117,130,46,159,49,26,38,1.461538462,0.021538462,0.021538462,,55.31914894,54.28571429,0.981318681,0.014461538,0.014461538,
20221101_201117,128,48,170,50,28,39,1.392857143,-0.068681319,0.068681319,,59.57446809,55.71428571,0.935204082,-0.0461146,0.0461146,
20221101_201118,133,49,166,52,29,41,1.413793103,0.020935961,0.020935961,,61.70212766,58.57142857,0.949261084,0.014057002,0.014057002,
20221101_201118,131,51,168,55,31,44,1.419354839,0.005561735,0.005561735,,65.95744681,62.85714286,0.952995392,0.003734308,0.003734308,
20221101_201118,147,52,185,57,32,46,1.4375,0.018145161,0.018145161,,68.08510638,65.71428571,0.965178571,0.01218318,0.01218318,
20221101_201118,144,53,193,58,33,47,1.424242424,-0.013257576,0.013257576,,70.21276596,67.14285714,0.956277056,-0.008901515,0.008901515,
20221101_201118,135,54,187,60,34,49,1.441176471,0.016934046,0.016934046,,72.34042553,70,0.967647059,0.011370003,0.011370003,
20221101_201118,145,57,199,64,37,53,1.432432432,-0.008744038,0.008744038,,78.72340426,75.71428571,0.961776062,-0.005870997,0.005870997,
20221101_201118,144,58,186,66,38,55,1.447368421,0.014935989,0.014935989,,80.85106383,78.57142857,0.971804511,0.01002845,0.01002845,
20221101_201118,152,59,195,67,39,56,1.435897436,-0.011470985,0.011470985,,82.9787234,80,0.964102564,-0.007701947,0.007701947,
20221101_201119,155,61,196,69,41,58,1.414634146,-0.02126329,0.02126329,,87.23404255,82.85714286,0.949825784,-0.01427678,0.01427678,
20221101_201119,160,63,202,73,43,62,1.441860465,0.027226319,0.027226319,,91.4893617,88.57142857,0.968106312,0.018280528,0.018280528,
20221101_201119,161,65,211,75,45,64,1.422222222,-0.019638243,0.019638243,,95.74468085,91.42857143,0.954920635,-0.013185677,0.013185677,
20221101_201119,160,72,207,85,52,74,1.423076923,0.000854701,0.000854701,,110.6382979,105.7142857,0.955494505,0.000573871,0.000573871,
20221101_201119,158,73,224,87,53,76,1.433962264,0.010885341,0.010885341,,112.7659574,108.5714286,0.962803235,0.007308729,0.007308729,
20221101_201119,171,75,220,89,55,78,1.418181818,-0.015780446,0.015780446,,117.0212766,111.4285714,0.952207792,-0.010595442,0.010595442,
20221101_201120,155,77,227,93,57,82,1.438596491,0.020414673,0.020414673,,121.2765957,117.1428571,0.965914787,0.013706995,0.013706995,
20221101_201120,181,79,224,95,59,84,1.423728814,-0.014867678,0.014867678,,125.5319149,120,0.955932203,-0.009982584,0.009982584,
20221101_201120,172,80,230,97,60,86,1.433333333,0.00960452,0.00960452,,127.6595745,122.8571429,0.962380952,0.006448749,0.006448749,
20221101_201120,179,82,227,100,62,89,1.435483871,0.002150538,0.002150538,,131.9148936,127.1428571,0.963824885,0.001443932,0.001443932,
20221101_201120,174,84,222,102,64,91,1.421875,-0.013608871,0.013608871,,136.1702128,130,0.9546875,-0.009137385,0.009137385,
20221101_201120,185,85,228,104,65,93,1.430769231,0.008894231,0.008894231,,138.2978723,132.8571429,0.960659341,0.005971841,0.005971841,
20221101_201120,187,87,240,106,67,95,1.417910448,-0.012858783,0.012858783,,142.5531915,135.7142857,0.952025586,-0.008633754,0.008633754,
20221101_201120,178,88,224,108,68,97,1.426470588,0.00856014,0.00856014,,144.6808511,138.5714286,0.957773109,0.005747523,0.005747523,
20221101_201120,171,90,232,110,70,99,1.414285714,-0.012184874,0.012184874,,148.9361702,141.4285714,0.949591837,-0.008181273,0.008181273,
20221101_201121,177,91,231,113,71,102,1.436619718,0.022334004,0.022334004,,151.0638298,145.7142857,0.964587525,0.014995688,0.014995688,
20221101_201121,174,93,239,115,73,104,1.424657534,-0.011962184,0.011962184,,155.3191489,148.5714286,0.956555773,-0.008031752,0.008031752,
20221101_201121,175,95,238,117,75,106,1.413333333,-0.011324201,0.011324201,,159.5744681,151.4285714,0.948952381,-0.007603392,0.007603392,
20221101_201121,170,98,220,121,78,110,1.41025641,-0.003076923,0.003076923,,165.9574468,157.1428571,0.946886447,-0.002065934,0.002065934,
20221101_201121,172,99,229,123,79,112,1.417721519,0.007465109,0.007465109,,168.0851064,160,0.951898734,0.005012287,0.005012287,
20221101_201121,171,100,224,125,80,114,1.425,0.007278481,0.007278481,,170.212766,162.8571429,0.956785714,0.00488698,0.00488698,
20221101_201121,185,102,226,128,82,117,1.426829268,0.001829268,0.001829268,,174.4680851,167.1428571,0.958013937,0.001228223,0.001228223,
20221101_201121,158,103,221,130,83,119,1.43373494,0.006905671,0.006905671,,176.5957447,170,0.962650602,0.004636665,0.004636665,
20221101_201122,175,105,216,132,85,121,1.423529412,-0.010205528,0.010205528,,180.8510638,172.8571429,0.955798319,-0.006852283,0.006852283,
20221101_201122,163,106,218,134,86,123,1.430232558,0.006703146,0.006703146,,182.9787234,175.7142857,0.960299003,0.004500684,0.004500684,
20221101_201122,173,108,210,136,88,125,1.420454545,-0.009778013,0.009778013,,187.2340426,178.5714286,0.953733766,-0.006565237,0.006565237,
20221101_201122,167,109,201,137,89,126,1.415730337,-0.004724208,0.004724208,,189.3617021,180,0.950561798,-0.003171968,0.003171968,
20221101_201122,158,111,208,139,91,128,1.406593407,-0.00913693,0.00913693,,193.6170213,182.8571429,0.944427002,-0.006134796,0.006134796,
20221101_201122,157,112,214,141,92,130,1.413043478,0.006450072,0.006450072,,195.7446809,185.7142857,0.948757764,0.004330762,0.004330762,
20221101_201122,163,115,207,145,95,134,1.410526316,-0.002517162,0.002517162,,202.1276596,191.4285714,0.947067669,-0.001690095,0.001690095,
20221101_201122,170,116,199,146,96,135,1.40625,-0.004276316,0.004276316,,204.2553191,192.8571429,0.944196429,-0.002871241,0.002871241,
20221101_201122,151,117,190,148,97,137,1.412371134,0.006121134,0.006121134,,206.3829787,195.7142857,0.948306333,0.004109904,0.004109904,
20221101_201122,150,119,190,150,99,139,1.404040404,-0.00833073,0.00833073,,210.6382979,198.5714286,0.942712843,-0.00559349,0.00559349,
20221101_201123,157,121,197,153,101,142,1.405940594,0.00190019,0.00190019,,214.893617,202.8571429,0.943988685,0.001275842,0.001275842,
20221101_201123,156,122,197,155,102,144,1.411764706,0.005824112,0.005824112,,217.0212766,205.7142857,0.94789916,0.003910475,0.003910475,
20221101_201123,155,124,193,156,104,145,1.394230769,-0.017533937,0.017533937,,221.2765957,207.1428571,0.936126374,-0.011772786,0.011772786,
20221101_201123,156,126,201,160,106,149,1.405660377,0.011429608,0.011429608,,225.5319149,212.8571429,0.943800539,0.007674165,0.007674165,
20221101_201123,168,127,206,161,107,150,1.401869159,-0.003791218,0.003791218,,227.6595745,214.2857143,0.941255007,-0.002545532,0.002545532,
20221101_201123,157,129,207,163,109,152,1.394495413,-0.007373746,0.007373746,,231.9148936,217.1428571,0.936304063,-0.004950944,0.004950944,
20221101_201123,169,131,214,166,111,155,1.396396396,0.001900984,0.001900984,,236.1702128,221.4285714,0.937580438,0.001276375,0.001276375,
20221101_201124,152,132,214,168,112,157,1.401785714,0.005389318,0.005389318,,238.2978723,224.2857143,0.94119898,0.003618542,0.003618542,
20221101_201124,151,133,194,169,113,158,1.398230088,-0.003555626,0.003555626,,240.4255319,225.7142857,0.938811631,-0.002387349,0.002387349,
20221101_201124,157,134,187,171,114,160,1.403508772,0.005278683,0.005278683,,242.5531915,228.5714286,0.94235589,0.003544259,0.003544259,
20221101_201124,157,136,196,173,116,162,1.396551724,-0.006957048,0.006957048,,246.8085106,231.4285714,0.937684729,-0.004671161,0.004671161,
20221101_201124,144,137,194,174,117,163,1.393162393,-0.003389331,0.003389331,,248.9361702,232.8571429,0.935409035,-0.002275694,0.002275694,
20221101_201124,161,138,200,176,118,165,1.398305085,0.005142692,0.005142692,,251.0638298,235.7142857,0.938861985,0.00345295,0.00345295,
20221101_201124,150,139,201,177,119,166,1.394957983,-0.003347102,0.003347102,,253.1914894,237.1428571,0.936614646,-0.00224734,0.00224734,
20221101_201124,152,140,200,178,120,167,1.391666667,-0.003291317,0.003291317,,255.3191489,238.5714286,0.934404762,-0.002209884,0.002209884,
20221101_201124,144,141,187,179,121,168,1.388429752,-0.003236915,0.003236915,,257.4468085,240,0.932231405,-0.002173357,0.002173357,
20221101_201125,155,141,197,181,121,170,1.404958678,0.016528926,0.016528926,,257.4468085,242.8571429,0.943329398,0.011097993,0.011097993,
20221101_201125,156,142,187,182,122,171,1.401639344,-0.003319333,0.003319333,,259.5744681,244.2857143,0.941100703,-0.002228695,0.002228695,
20221101_201125,143,143,201,183,123,172,1.398373984,-0.003265361,0.003265361,,261.7021277,245.7142857,0.938908246,-0.002192456,0.002192456,
20221101_201125,149,144,183,184,124,173,1.39516129,-0.003212693,0.003212693,,263.8297872,247.1428571,0.936751152,-0.002157094,0.002157094,
20221101_201125,148,145,189,185,125,174,1.392,-0.00316129,0.00316129,,265.9574468,248.5714286,0.934628571,-0.002122581,0.002122581,
20221101_201125,150,146,185,186,126,175,1.388888889,-0.003111111,0.003111111,,268.0851064,250,0.932539683,-0.002088889,0.002088889,
20221101_201125,153,146,190,187,126,176,1.396825397,0.007936508,0.007936508,,268.0851064,251.4285714,0.937868481,0.005328798,0.005328798,
20221101_201125,154,147,200,188,127,177,1.393700787,-0.003124609,0.003124609,,270.212766,252.8571429,0.935770529,-0.002097952,0.002097952,
20221101_201125,155,148,190,189,128,178,1.390625,-0.003075787,0.003075787,,272.3404255,254.2857143,0.933705357,-0.002065172,0.002065172,
20221101_201125,155,148,206,190,128,179,1.3984375,0.0078125,0.0078125,,272.3404255,255.7142857,0.938950893,0.005245536,0.005245536,
20221101_201126,153,149,202,191,129,180,1.395348837,-0.003088663,0.003088663,,274.4680851,257.1428571,0.936877076,-0.002073816,0.002073816,
20221101_201126,161,150,207,192,130,181,1.392307692,-0.003041145,0.003041145,,276.5957447,258.5714286,0.934835165,-0.002041912,0.002041912,
20221101_201126,156,151,195,193,131,182,1.389312977,-0.002994715,0.002994715,,278.7234043,260,0.932824427,-0.002010737,0.002010737,
20221101_201126,165,151,207,194,131,183,1.396946565,0.007633588,0.007633588,,278.7234043,261.4285714,0.937949836,0.005125409,0.005125409,
20221101_201126,169,152,199,195,132,184,1.393939394,-0.003007171,0.003007171,,280.8510638,262.8571429,0.935930736,-0.0020191,0.0020191,
20221101_201126,165,153,201,196,133,185,1.390977444,-0.00296195,0.00296195,,282.9787234,264.2857143,0.933941998,-0.001988738,0.001988738,
20221101_201126,165,154,206,197,134,186,1.388059701,-0.002917742,0.002917742,,285.106383,265.7142857,0.931982942,-0.001959055,0.001959055,
20221101_201126,155,154,213,198,134,187,1.395522388,0.007462687,0.007462687,,285.106383,267.1428571,0.936993603,0.005010661,0.005010661,
20221101_201126,160,155,210,198,135,187,1.385185185,-0.010337203,0.010337203,,287.2340426,267.1428571,0.93005291,-0.006940693,0.006940693,
20221101_201126,159,155,204,199,135,188,1.392592593,0.007407407,0.007407407,,287.2340426,268.5714286,0.935026455,0.004973545,0.004973545,
20221101_201127,160,156,215,200,136,189,1.389705882,-0.00288671,0.00288671,,289.3617021,270,0.933088235,-0.00193822,0.00193822,
20221101_201127,155,156,213,201,136,190,1.397058824,0.007352941,0.007352941,,289.3617021,271.4285714,0.93802521,0.004936975,0.004936975,
20221101_201127,166,157,225,202,137,191,1.394160584,-0.00289824,0.00289824,,291.4893617,272.8571429,0.936079249,-0.001945961,0.001945961,
20221101_201127,159,157,221,203,137,192,1.401459854,0.00729927,0.00729927,,291.4893617,274.2857143,0.940980188,0.004900938,0.004900938,
20221101_201127,166,158,209,203,138,192,1.391304348,-0.010155506,0.010155506,,293.6170213,274.2857143,0.934161491,-0.006818697,0.006818697,
20221101_201127,168,158,210,204,138,193,1.398550725,0.007246377,0.007246377,,293.6170213,275.7142857,0.939026915,0.004865424,0.004865424,
20221101_201127,179,159,225,204,139,193,1.388489209,-0.010061516,0.010061516,,295.7446809,275.7142857,0.932271326,-0.006755589,0.006755589,
20221101_201127,175,159,204,205,139,194,1.395683453,0.007194245,0.007194245,,295.7446809,277.1428571,0.937101747,0.004830421,0.004830421,
20221101_201127,166,160,215,205,140,194,1.385714286,-0.009969168,0.009969168,,297.8723404,277.1428571,0.930408163,-0.006693584,0.006693584,
20221101_201128,170,161,218,207,141,196,1.390070922,0.004356636,0.004356636,,300,280,0.933333333,0.00292517,0.00292517,
20221101_201128,165,161,215,208,141,197,1.397163121,0.007092199,0.007092199,,300,281.4285714,0.938095238,0.004761905,0.004761905,
20221101_201128,169,162,220,208,142,197,1.387323944,-0.009839177,0.009839177,,302.1276596,281.4285714,0.931488934,-0.006606304,0.006606304,
20221101_201128,187,162,244,209,142,198,1.394366197,0.007042254,0.007042254,,302.1276596,282.8571429,0.936217304,0.00472837,0.00472837,
20221101_201128,199,163,253,210,143,199,1.391608392,-0.002757806,0.002757806,,304.2553191,284.2857143,0.934365634,-0.001851669,0.001851669,
20221101_201128,209,164,268,210,144,199,1.381944444,-0.009663947,0.009663947,,306.3829787,284.2857143,0.927876984,-0.00648865,0.00648865,
20221101_201129,227,165,300,212,145,201,1.386206897,0.004262452,0.004262452,,308.5106383,287.1428571,0.930738916,0.002861932,0.002861932,
20221101_201129,253,166,319,213,146,202,1.383561644,-0.002645253,0.002645253,,310.6382979,288.5714286,0.928962818,-0.001776098,0.001776098,
20221101_201129,279,167,361,215,147,204,1.387755102,0.004193458,0.004193458,,312.7659574,291.4285714,0.931778426,0.002815608,0.002815608,
20221101_201129,288,168,373,216,148,205,1.385135135,-0.002619967,0.002619967,,314.893617,292.8571429,0.930019305,-0.001759121,0.001759121,
20221101_201129,321,170,423,218,150,207,1.38,-0.005135135,0.005135135,,319.1489362,295.7142857,0.926571429,-0.003447876,0.003447876,
20221101_201129,308,171,431,221,151,210,1.390728477,0.010728477,0.010728477,,321.2765957,300,0.933774834,0.007203406,0.007203406,
20221101_201129,320,173,457,223,153,212,1.385620915,-0.005107562,0.005107562,,325.5319149,302.8571429,0.930345472,-0.003429363,0.003429363,
20221101_201129,311,174,450,225,154,214,1.38961039,0.003989475,0.003989475,,327.6595745,305.7142857,0.933024119,0.002678647,0.002678647,
20221101_201129,329,176,448,228,156,217,1.391025641,0.001415251,0.001415251,,331.9148936,310,0.933974359,0.00095024,0.00095024,
20221101_201129,323,177,438,230,157,219,1.394904459,0.003878818,0.003878818,,334.0425532,312.8571429,0.936578708,0.002604349,0.002604349,
20221101_201130,334,179,454,232,159,221,1.389937107,-0.004967352,0.004967352,,338.2978723,315.7142857,0.933243486,-0.003335222,0.003335222,
20221101_201130,338,182,469,237,162,226,1.395061728,0.005124621,0.005124621,,344.6808511,322.8571429,0.936684303,0.003440817,0.003440817,
20221101_201130,324,184,481,239,164,228,1.390243902,-0.004817826,0.004817826,,348.9361702,325.7142857,0.933449477,-0.003234826,0.003234826,
20221101_201130,350,187,486,244,167,233,1.395209581,0.004965678,0.004965678,,355.3191489,332.8571429,0.936783576,0.003334098,0.003334098,
20221101_201130,363,189,481,247,169,236,1.396449704,0.001240123,0.001240123,,359.5744681,337.1428571,0.93761623,0.000832654,0.000832654,
20221101_201130,350,191,470,249,171,238,1.391812865,-0.004636839,0.004636839,,363.8297872,340,0.934502924,-0.003113306,0.003113306,
20221101_201130,348,192,496,252,172,241,1.401162791,0.009349925,0.009349925,,365.9574468,344.2857143,0.940780731,0.006277807,0.006277807,
20221101_201130,348,196,488,257,176,246,1.397727273,-0.003435518,0.003435518,,374.4680851,351.4285714,0.938474026,-0.002306705,0.002306705,
20221101_201131,340,197,496,260,177,249,1.406779661,0.009052388,0.009052388,,376.5957447,355.7142857,0.944552058,0.006078032,0.006078032,
